episode,reward,avg100,loss,epsilon,eval_mean,eval_std
1,11.0,11.0,nan,0.999967,9.5,0.5
2,18.0,14.5,nan,0.999934,nan,nan
3,10.0,13.0,nan,0.999901,nan,nan
4,15.0,13.5,nan,0.999868,nan,nan
5,20.0,14.8,nan,0.999835,nan,nan
6,26.0,16.666666666666668,nan,0.999802,nan,nan
7,18.0,16.857142857142858,nan,0.999769,nan,nan
8,17.0,16.875,nan,0.999736,nan,nan
9,14.0,16.555555555555557,nan,0.999703,nan,nan
10,23.0,17.2,nan,0.99967,nan,nan
11,18.0,17.272727272727273,nan,0.999637,nan,nan
12,12.0,16.833333333333332,nan,0.999604,nan,nan
13,15.0,16.692307692307693,nan,0.999571,nan,nan
14,18.0,16.785714285714285,nan,0.999538,nan,nan
15,12.0,16.466666666666665,nan,0.999505,nan,nan
16,16.0,16.4375,nan,0.999472,nan,nan
17,12.0,16.176470588235293,nan,0.999439,nan,nan
18,21.0,16.444444444444443,nan,0.999406,nan,nan
19,24.0,16.842105263157894,nan,0.999373,nan,nan
20,17.0,16.85,nan,0.99934,nan,nan
21,54.0,18.61904761904762,nan,0.999307,nan,nan
22,24.0,18.863636363636363,nan,0.999274,nan,nan
23,16.0,18.73913043478261,nan,0.999241,nan,nan
24,16.0,18.625,nan,0.999208,nan,nan
25,12.0,18.36,nan,0.999175,9.5,0.5
26,31.0,18.846153846153847,nan,0.999142,nan,nan
27,41.0,19.666666666666668,nan,0.999109,nan,nan
28,13.0,19.428571428571427,nan,0.999076,nan,nan
29,36.0,20.0,nan,0.999043,nan,nan
30,19.0,19.966666666666665,nan,0.99901,nan,nan
31,11.0,19.677419354838708,nan,0.998977,nan,nan
32,24.0,19.8125,nan,0.998944,nan,nan
33,25.0,19.96969696969697,nan,0.998911,nan,nan
34,15.0,19.823529411764707,nan,0.998878,nan,nan
35,31.0,20.142857142857142,nan,0.998845,nan,nan
36,19.0,20.11111111111111,nan,0.998812,nan,nan
37,23.0,20.18918918918919,nan,0.998779,nan,nan
38,11.0,19.94736842105263,nan,0.998746,nan,nan
39,19.0,19.923076923076923,nan,0.998713,nan,nan
40,50.0,20.675,nan,0.99868,nan,nan
41,11.0,20.4390243902439,nan,0.998647,nan,nan
42,20.0,20.428571428571427,nan,0.998614,nan,nan
43,18.0,20.372093023255815,nan,0.998581,nan,nan
44,34.0,20.681818181818183,nan,0.998548,nan,nan
45,14.0,20.533333333333335,nan,0.998515,nan,nan
46,50.0,21.17391304347826,nan,0.998482,nan,nan
47,52.0,21.829787234042552,nan,0.998449,nan,nan
48,25.0,21.895833333333332,nan,0.998416,nan,nan
49,16.0,21.775510204081634,nan,0.998383,nan,nan
50,12.0,21.58,nan,0.99835,9.5,0.5
51,27.0,21.686274509803923,nan,0.998317,nan,nan
52,11.0,21.48076923076923,nan,0.998284,nan,nan
53,21.0,21.471698113207548,nan,0.998251,nan,nan
54,29.0,21.61111111111111,nan,0.998218,nan,nan
55,20.0,21.581818181818182,nan,0.998185,nan,nan
56,12.0,21.410714285714285,nan,0.998152,nan,nan
57,14.0,21.280701754385966,nan,0.998119,nan,nan
58,11.0,21.103448275862068,nan,0.998086,nan,nan
59,13.0,20.966101694915253,nan,0.998053,nan,nan
60,20.0,20.95,nan,0.99802,nan,nan
61,13.0,20.81967213114754,nan,0.997987,nan,nan
62,12.0,20.677419354838708,nan,0.997954,nan,nan
63,43.0,21.03174603174603,nan,0.997921,nan,nan
64,11.0,20.875,nan,0.997888,nan,nan
65,35.0,21.092307692307692,nan,0.997855,nan,nan
66,22.0,21.106060606060606,nan,0.997822,nan,nan
67,22.0,21.119402985074625,nan,0.997789,nan,nan
68,20.0,21.102941176470587,nan,0.997756,nan,nan
69,20.0,21.08695652173913,nan,0.997723,nan,nan
70,25.0,21.142857142857142,nan,0.99769,nan,nan
71,18.0,21.098591549295776,nan,0.997657,nan,nan
72,22.0,21.11111111111111,nan,0.997624,nan,nan
73,12.0,20.986301369863014,nan,0.997591,nan,nan
74,20.0,20.972972972972972,nan,0.997558,nan,nan
75,28.0,21.066666666666666,nan,0.997525,9.5,0.5
76,9.0,20.907894736842106,nan,0.997492,nan,nan
77,17.0,20.857142857142858,nan,0.997459,nan,nan
78,19.0,20.833333333333332,nan,0.997426,nan,nan
79,11.0,20.70886075949367,nan,0.997393,nan,nan
80,12.0,20.6,nan,0.99736,nan,nan
81,17.0,20.555555555555557,nan,0.997327,nan,nan
82,16.0,20.5,nan,0.997294,nan,nan
83,31.0,20.626506024096386,nan,0.997261,nan,nan
84,11.0,20.511904761904763,nan,0.997228,nan,nan
85,14.0,20.435294117647057,nan,0.997195,nan,nan
86,15.0,20.372093023255815,nan,0.997162,nan,nan
87,42.0,20.620689655172413,nan,0.997129,nan,nan
88,23.0,20.647727272727273,nan,0.997096,nan,nan
89,14.0,20.573033707865168,nan,0.997063,nan,nan
90,15.0,20.511111111111113,nan,0.99703,nan,nan
91,12.0,20.417582417582416,nan,0.996997,nan,nan
92,12.0,20.32608695652174,nan,0.996964,nan,nan
93,14.0,20.258064516129032,nan,0.996931,nan,nan
94,15.0,20.20212765957447,nan,0.996898,nan,nan
95,31.0,20.31578947368421,nan,0.996865,nan,nan
96,19.0,20.302083333333332,nan,0.996832,nan,nan
97,12.0,20.216494845360824,nan,0.996799,nan,nan
98,13.0,20.142857142857142,nan,0.996766,nan,nan
99,12.0,20.060606060606062,nan,0.996733,nan,nan
100,15.0,20.01,0.6180571913719177,0.9967,9.5,0.5
101,39.0,20.29,0.11918517159154782,0.996667,nan,nan
102,17.0,20.28,0.028067408020005506,0.996634,nan,nan
103,14.0,20.32,0.012703915858375174,0.996601,nan,nan
104,21.0,20.38,0.016852152666875293,0.996568,nan,nan
105,16.0,20.34,0.013860035222023726,0.996535,nan,nan
106,10.0,20.18,0.012996711675077677,0.996502,nan,nan
107,24.0,20.24,0.018750808609183878,0.996469,nan,nan
108,16.0,20.23,0.01867162447888404,0.996436,nan,nan
109,29.0,20.38,0.016690454317321038,0.996403,nan,nan
110,13.0,20.28,0.022058118421297807,0.99637,nan,nan
111,25.0,20.35,0.01856055412441492,0.996337,nan,nan
112,12.0,20.35,0.022723780712112784,0.996304,nan,nan
113,20.0,20.4,0.12105165929533541,0.996271,nan,nan
114,49.0,20.71,0.07605823756632757,0.996238,nan,nan
115,16.0,20.75,0.07151600159704685,0.996205,nan,nan
116,9.0,20.68,0.07800762593332264,0.996172,nan,nan
117,30.0,20.86,0.06940218483408292,0.996139,nan,nan
118,24.0,20.89,0.07566140149720013,0.996106,nan,nan
119,22.0,20.87,0.06550189492885362,0.996073,nan,nan
120,18.0,20.88,0.08775443583726883,0.99604,nan,nan
121,24.0,20.58,0.06603706457341711,0.996007,nan,nan
122,32.0,20.66,0.09223647508770227,0.995974,nan,nan
123,35.0,20.85,0.16794466152787207,0.995941,nan,nan
124,18.0,20.87,0.16030044563942486,0.995908,nan,nan
125,31.0,21.06,0.1590525479686837,0.995875,26.0,12.296340919151518
126,11.0,20.86,0.12337586419148878,0.995842,nan,nan
127,31.0,20.76,0.13717290843206068,0.9958089999999999,nan,nan
128,15.0,20.78,0.1586438809831937,0.995776,nan,nan
129,18.0,20.6,0.15519021999918753,0.995743,nan,nan
130,41.0,20.82,0.14512995112596488,0.99571,nan,nan
131,15.0,20.86,0.152176130314668,0.995677,nan,nan
132,9.0,20.71,0.10048721647924846,0.995644,nan,nan
133,15.0,20.61,0.15725724051396053,0.995611,nan,nan
134,11.0,20.57,0.19894137910821222,0.995578,nan,nan
135,10.0,20.36,0.19369310438632964,0.995545,nan,nan
136,18.0,20.35,0.2716820678777165,0.995512,nan,nan
137,26.0,20.38,0.23842991315401518,0.995479,nan,nan
138,32.0,20.59,0.23182701389305294,0.995446,nan,nan
139,15.0,20.55,0.20262442280848822,0.995413,nan,nan
140,16.0,20.21,0.20720297005027533,0.99538,nan,nan
141,68.0,20.78,0.24650311689166463,0.995347,nan,nan
142,11.0,20.69,0.2249081080610102,0.995314,nan,nan
143,27.0,20.78,0.23968641377157635,0.995281,nan,nan
144,24.0,20.68,0.24186649173498154,0.995248,nan,nan
145,12.0,20.66,0.23017629608511925,0.995215,nan,nan
146,36.0,20.52,0.3440442296365897,0.995182,nan,nan
147,14.0,20.14,0.34892445164067404,0.995149,nan,nan
148,60.0,20.49,0.29285430125892165,0.995116,nan,nan
149,14.0,20.47,0.2757359104497092,0.995083,nan,nan
150,19.0,20.54,0.28297468196404607,0.99505,159.7,32.53013987058771
151,22.0,20.49,0.3051403361287984,0.995017,nan,nan
152,41.0,20.79,0.30233151302105044,0.994984,nan,nan
153,22.0,20.8,0.33551235564730386,0.994951,nan,nan
154,17.0,20.68,0.30418844082776236,0.994918,nan,nan
155,74.0,21.22,0.37763729792188955,0.994885,nan,nan
156,52.0,21.62,0.3728098410826463,0.994852,nan,nan
157,18.0,21.66,0.3092205176750819,0.994819,nan,nan
158,17.0,21.72,0.3571580832495409,0.994786,nan,nan
159,17.0,21.76,0.3578377681619981,0.994753,nan,nan
160,24.0,21.8,0.3555498141795397,0.99472,nan,nan
161,51.0,22.18,0.39109136894637464,0.994687,nan,nan
162,24.0,22.3,0.4777441769838333,0.994654,nan,nan
163,27.0,22.14,0.4893861484748346,0.994621,nan,nan
164,12.0,22.15,0.5051598052183787,0.994588,nan,nan
165,28.0,22.08,0.4021680812750544,0.994555,nan,nan
166,22.0,22.08,0.39968815649097617,0.994522,nan,nan
167,24.0,22.1,0.4468894038970272,0.994489,nan,nan
168,13.0,22.03,0.45057575633892644,0.994456,nan,nan
169,20.0,22.03,0.383271761238575,0.994423,nan,nan
170,21.0,21.99,0.4349928264107023,0.99439,nan,nan
171,14.0,21.95,0.38168432669980185,0.994357,nan,nan
172,10.0,21.83,0.3786427900195122,0.994324,nan,nan
173,11.0,21.82,0.4466955851424824,0.994291,nan,nan
174,19.0,21.81,0.42402200832178716,0.994258,nan,nan
175,26.0,21.79,0.4309719858261255,0.994225,113.7,22.284748147555987
176,14.0,21.84,0.5126741634947913,0.994192,nan,nan
177,17.0,21.84,0.47565465814927044,0.994159,nan,nan
178,64.0,22.29,0.4668103842996061,0.994126,nan,nan
179,20.0,22.38,0.3741960532963276,0.994093,nan,nan
180,20.0,22.46,0.4525627657771111,0.9940599999999999,nan,nan
181,29.0,22.58,0.5209903994510914,0.994027,nan,nan
182,22.0,22.64,0.4880842370065776,0.993994,nan,nan
183,71.0,23.04,0.48981880218210355,0.993961,nan,nan
184,36.0,23.29,0.5152269618378745,0.993928,nan,nan
185,78.0,23.93,0.5204220752303417,0.993895,nan,nan
186,28.0,24.06,0.503424975222775,0.993862,nan,nan
187,21.0,23.85,0.46736409124873934,0.993829,nan,nan
188,31.0,23.93,0.5384760604750726,0.993796,nan,nan
189,84.0,24.63,0.5561927170270965,0.993763,nan,nan
190,36.0,24.84,0.6519002368052801,0.99373,nan,nan
191,44.0,25.16,0.5791245604103262,0.993697,nan,nan
192,24.0,25.28,0.556509810189406,0.993664,nan,nan
193,29.0,25.43,0.6261274737530741,0.993631,nan,nan
194,25.0,25.53,0.5958001267910004,0.993598,nan,nan
195,32.0,25.54,0.6159603781998158,0.993565,nan,nan
196,9.0,25.44,0.7625771959622701,0.993532,nan,nan
197,35.0,25.67,0.7063267205442701,0.993499,nan,nan
198,71.0,26.25,0.650960817303456,0.993466,nan,nan
199,36.0,26.49,0.6522171257270707,0.993433,nan,nan
200,17.0,26.51,0.5518565563594594,0.9934,68.1,8.227393268830657
201,43.0,26.55,0.5720201709935832,0.993367,nan,nan
202,22.0,26.6,0.6163232326507568,0.993334,nan,nan
203,37.0,26.83,0.6199914281432694,0.993301,nan,nan
204,13.0,26.75,0.641059201497298,0.993268,nan,nan
205,12.0,26.71,0.7013164088129997,0.993235,nan,nan
206,20.0,26.81,0.6405702970921994,0.993202,nan,nan
207,34.0,26.91,0.6950497894602663,0.993169,nan,nan
208,24.0,26.99,0.6800466068089008,0.993136,nan,nan
209,23.0,26.93,0.5339210137077,0.993103,nan,nan
210,35.0,27.15,0.752114588873727,0.99307,nan,nan
211,15.0,27.05,0.5994575520356497,0.993037,nan,nan
212,15.0,27.08,0.5920951863129934,0.993004,nan,nan
213,27.0,27.15,0.6777942335164105,0.992971,nan,nan
214,15.0,26.81,0.6259963631629943,0.992938,nan,nan
215,55.0,27.2,0.7539015051993456,0.992905,nan,nan
216,21.0,27.32,0.5980153481165568,0.992872,nan,nan
217,28.0,27.3,0.638836647783007,0.992839,nan,nan
218,34.0,27.4,0.7083108745077077,0.992806,nan,nan
219,32.0,27.5,0.6020083902403712,0.992773,nan,nan
220,32.0,27.64,0.7091290415264666,0.99274,nan,nan
221,11.0,27.51,0.7429059147834778,0.992707,nan,nan
222,17.0,27.36,0.7442517666255727,0.992674,nan,nan
223,50.0,27.51,0.7152980053424836,0.992641,nan,nan
224,25.0,27.58,0.8239551568031311,0.992608,nan,nan
225,15.0,27.42,0.7449110865592956,0.992575,66.0,3.82099463490856
226,15.0,27.46,0.6404698709646861,0.992542,nan,nan
227,15.0,27.3,0.6655424773693085,0.992509,nan,nan
228,14.0,27.29,0.841201473559652,0.992476,nan,nan
229,13.0,27.24,0.9288931168042697,0.992443,nan,nan
230,20.0,27.03,0.6503288894891739,0.99241,nan,nan
231,35.0,27.23,0.6795816872801099,0.992377,nan,nan
232,17.0,27.31,0.7347551812143887,0.992344,nan,nan
233,18.0,27.34,0.7150299797455469,0.992311,nan,nan
234,26.0,27.49,0.7287855194165156,0.992278,nan,nan
235,31.0,27.7,0.8228680549129364,0.992245,nan,nan
236,17.0,27.69,0.7392962574958801,0.992212,nan,nan
237,16.0,27.59,0.9388054832816124,0.992179,nan,nan
238,23.0,27.5,0.8490678979002911,0.992146,nan,nan
239,30.0,27.65,0.8843186030785243,0.992113,nan,nan
240,29.0,27.78,0.8884081408895296,0.99208,nan,nan
241,63.0,27.73,0.85055449675946,0.992047,nan,nan
242,19.0,27.81,0.7543860579791822,0.992014,nan,nan
243,16.0,27.7,0.8222260922193527,0.991981,nan,nan
244,16.0,27.62,0.8569160588085651,0.991948,nan,nan
245,57.0,28.07,0.9083365510430252,0.991915,nan,nan
246,9.0,27.8,0.7656327817175124,0.991882,nan,nan
247,27.0,27.93,0.9938579576986807,0.991849,nan,nan
248,13.0,27.46,0.956720423239928,0.991816,nan,nan
249,23.0,27.55,0.9107484299203624,0.991783,nan,nan
250,11.0,27.47,0.8846932487054304,0.99175,129.0,24.987997118616768
251,20.0,27.45,0.9141969323158264,0.991717,nan,nan
252,13.0,27.17,1.1701049712988048,0.991684,nan,nan
253,10.0,27.05,0.8288435399532318,0.991651,nan,nan
254,19.0,27.07,1.0550323818859302,0.991618,nan,nan
255,57.0,26.9,0.879167206977543,0.991585,nan,nan
256,36.0,26.74,0.9178090790907542,0.991552,nan,nan
257,26.0,26.82,1.0252971878418555,0.991519,nan,nan
258,15.0,26.8,0.9107234120368958,0.991486,nan,nan
