episode,reward,avg100,loss,epsilon
1,11.0,11.0,nan,0.9999525
2,18.0,14.5,nan,0.999905
3,10.0,13.0,nan,0.9998575
4,15.0,13.5,nan,0.99981
5,20.0,14.8,nan,0.9997625
6,26.0,16.666666666666668,nan,0.999715
7,18.0,16.857142857142858,nan,0.9996675
8,17.0,16.875,nan,0.99962
9,14.0,16.555555555555557,nan,0.9995725
10,23.0,17.2,nan,0.999525
11,18.0,17.272727272727273,nan,0.9994775
12,12.0,16.833333333333332,nan,0.99943
13,15.0,16.692307692307693,nan,0.9993825
14,18.0,16.785714285714285,nan,0.999335
15,12.0,16.466666666666665,nan,0.9992875
16,16.0,16.4375,nan,0.99924
17,12.0,16.176470588235293,nan,0.9991925
18,21.0,16.444444444444443,nan,0.999145
19,24.0,16.842105263157894,nan,0.9990975
20,17.0,16.85,nan,0.99905
21,54.0,18.61904761904762,nan,0.9990025
22,24.0,18.863636363636363,nan,0.998955
23,16.0,18.73913043478261,nan,0.9989075
24,16.0,18.625,nan,0.99886
25,12.0,18.36,nan,0.9988125
26,31.0,18.846153846153847,nan,0.998765
27,41.0,19.666666666666668,nan,0.9987175
28,13.0,19.428571428571427,nan,0.99867
29,36.0,20.0,nan,0.9986225
30,19.0,19.966666666666665,nan,0.998575
31,11.0,19.677419354838708,nan,0.9985275
32,24.0,19.8125,nan,0.99848
33,25.0,19.96969696969697,nan,0.9984325
34,15.0,19.823529411764707,nan,0.998385
35,31.0,20.142857142857142,nan,0.9983375
36,19.0,20.11111111111111,nan,0.99829
37,23.0,20.18918918918919,nan,0.9982425
38,11.0,19.94736842105263,nan,0.998195
39,19.0,19.923076923076923,nan,0.9981475
40,50.0,20.675,nan,0.9981
41,11.0,20.4390243902439,nan,0.9980525
42,14.0,20.285714285714285,nan,0.998005
43,16.0,20.186046511627907,nan,0.9979575
44,16.0,20.09090909090909,nan,0.99791
45,18.0,20.044444444444444,nan,0.9978625
46,32.0,20.304347826086957,nan,0.997815
47,42.0,20.76595744680851,nan,0.9977675
48,16.0,20.666666666666668,nan,0.99772
49,26.0,20.775510204081634,0.262893331972392,0.9976725
50,43.0,21.22,0.009217503881298526,0.997625
51,16.0,21.11764705882353,0.0023694626506767236,0.9975775
52,22.0,21.134615384615383,0.0021436055275526915,0.99753
