episode,reward,avg100,loss,epsilon,eval_mean,eval_std
1,11.0,11.0,nan,0.99951,22.3,5.119570294468081
2,18.0,14.5,nan,0.99902,nan,nan
3,10.0,13.0,nan,0.99853,nan,nan
4,15.0,13.5,nan,0.99804,nan,nan
5,20.0,14.8,nan,0.99755,nan,nan
6,22.0,16.0,nan,0.99706,nan,nan
7,13.0,15.571428571428571,nan,0.99657,nan,nan
8,25.0,16.75,nan,0.99608,nan,nan
9,30.0,18.22222222222222,nan,0.99559,nan,nan
10,19.0,18.3,nan,0.9951,nan,nan
11,46.0,20.818181818181817,nan,0.99461,nan,nan
12,11.0,20.0,nan,0.99412,nan,nan
13,23.0,20.23076923076923,nan,0.99363,nan,nan
14,16.0,19.928571428571427,nan,0.99314,nan,nan
15,9.0,19.2,nan,0.99265,nan,nan
16,19.0,19.1875,nan,0.99216,nan,nan
17,17.0,19.058823529411764,nan,0.99167,nan,nan
18,51.0,20.833333333333332,nan,0.99118,nan,nan
19,18.0,20.68421052631579,nan,0.99069,nan,nan
20,13.0,20.3,nan,0.9902,nan,nan
21,23.0,20.428571428571427,nan,0.98971,nan,nan
22,9.0,19.90909090909091,nan,0.98922,nan,nan
23,13.0,19.608695652173914,nan,0.98873,nan,nan
24,23.0,19.75,nan,0.98824,nan,nan
25,11.0,19.4,nan,0.98775,14.1,2.071231517720798
26,19.0,19.384615384615383,nan,0.98726,nan,nan
27,19.0,19.37037037037037,nan,0.98677,nan,nan
28,22.0,19.464285714285715,nan,0.98628,nan,nan
29,11.0,19.17241379310345,nan,0.9857899999999999,nan,nan
30,13.0,18.966666666666665,nan,0.9853,nan,nan
31,18.0,18.93548387096774,nan,0.98481,nan,nan
32,20.0,18.96875,nan,0.98432,nan,nan
33,28.0,19.242424242424242,nan,0.98383,nan,nan
34,19.0,19.235294117647058,nan,0.98334,nan,nan
35,21.0,19.285714285714285,nan,0.98285,nan,nan
36,16.0,19.194444444444443,nan,0.98236,nan,nan
37,19.0,19.18918918918919,nan,0.98187,nan,nan
38,12.0,19.0,nan,0.98138,nan,nan
39,19.0,19.0,nan,0.98089,nan,nan
40,16.0,18.925,nan,0.9804,nan,nan
41,12.0,18.75609756097561,nan,0.97991,nan,nan
42,16.0,18.69047619047619,nan,0.97942,nan,nan
43,17.0,18.651162790697676,nan,0.97893,nan,nan
44,13.0,18.522727272727273,nan,0.97844,nan,nan
45,15.0,18.444444444444443,nan,0.97795,nan,nan
46,10.0,18.26086956521739,nan,0.97746,nan,nan
47,74.0,19.4468085106383,nan,0.97697,nan,nan
48,11.0,19.270833333333332,nan,0.97648,nan,nan
49,23.0,19.346938775510203,nan,0.97599,nan,nan
50,18.0,19.32,nan,0.9755,15.2,5.2115256883181535
51,13.0,19.19607843137255,nan,0.97501,nan,nan
52,20.0,19.21153846153846,nan,0.97452,nan,nan
53,11.0,19.056603773584907,0.4096164351159876,0.97403,nan,nan
54,13.0,18.944444444444443,0.20670893673713392,0.97354,nan,nan
55,14.0,18.854545454545455,0.11237439406769616,0.97305,nan,nan
56,11.0,18.714285714285715,0.07489687001163309,0.97256,nan,nan
57,33.0,18.964912280701753,0.06527474477435603,0.97207,nan,nan
58,13.0,18.862068965517242,0.05495382386904497,0.97158,nan,nan
59,10.0,18.71186440677966,0.06142186038196087,0.97109,nan,nan
60,14.0,18.633333333333333,0.058440446321453364,0.9706,nan,nan
61,13.0,18.540983606557376,0.05433262655368218,0.97011,nan,nan
62,12.0,18.43548387096774,0.053436169711252056,0.96962,nan,nan
63,14.0,18.365079365079364,0.04900448316974299,0.96913,nan,nan
64,9.0,18.21875,0.047059333986706205,0.96864,nan,nan
65,12.0,18.123076923076923,0.05983438529074192,0.96815,nan,nan
66,13.0,18.045454545454547,0.05083648659862005,0.96766,nan,nan
67,9.0,17.91044776119403,0.04587683536940151,0.96717,nan,nan
68,10.0,17.794117647058822,0.044821863807737825,0.96668,nan,nan
69,15.0,17.753623188405797,0.050479140629371005,0.96619,nan,nan
70,10.0,17.642857142857142,0.05508735924959183,0.9657,nan,nan
71,10.0,17.535211267605632,0.05790250152349472,0.96521,nan,nan
72,15.0,17.5,0.05595650871594747,0.96472,nan,nan
73,13.0,17.438356164383563,0.0680024019227578,0.96423,nan,nan
74,16.0,17.41891891891892,0.061592849902808666,0.96374,nan,nan
75,10.0,17.32,0.06613771244883537,0.96325,9.0,0.6324555320336759
76,17.0,17.31578947368421,0.0636634234996403,0.9627600000000001,nan,nan
77,10.0,17.22077922077922,0.07617654651403427,0.96227,nan,nan
78,10.0,17.128205128205128,0.06159946620464325,0.96178,nan,nan
79,9.0,17.025316455696203,0.07298973285489613,0.96129,nan,nan
80,9.0,16.925,0.06954590769277678,0.9608,nan,nan
81,12.0,16.864197530864196,0.07908758458991845,0.96031,nan,nan
82,9.0,16.76829268292683,0.06824809147251977,0.95982,nan,nan
83,11.0,16.698795180722893,0.08586523343216289,0.95933,nan,nan
84,9.0,16.607142857142858,0.08757598863707648,0.95884,nan,nan
85,11.0,16.541176470588237,0.0791777866807851,0.95835,nan,nan
86,10.0,16.46511627906977,0.08331549689173698,0.95786,nan,nan
87,8.0,16.367816091954023,0.08178585581481457,0.95737,nan,nan
88,9.0,16.28409090909091,0.07248219516542223,0.95688,nan,nan
89,9.0,16.202247191011235,0.09827390478716956,0.95639,nan,nan
90,10.0,16.133333333333333,0.09356340169906616,0.9559,nan,nan
91,10.0,16.065934065934066,0.10788564085960388,0.95541,nan,nan
92,10.0,16.0,0.08630209341645241,0.95492,nan,nan
93,8.0,15.913978494623656,0.09811046719551086,0.95443,nan,nan
94,10.0,15.851063829787234,0.09460539482533932,0.95394,nan,nan
95,11.0,15.8,0.10262651639905843,0.95345,nan,nan
96,10.0,15.739583333333334,0.09065130203962327,0.95296,nan,nan
97,9.0,15.670103092783505,0.1183407488796446,0.95247,nan,nan
98,14.0,15.653061224489797,0.09640076756477356,0.95198,nan,nan
99,10.0,15.595959595959595,0.11895810402929782,0.95149,nan,nan
100,9.0,15.53,0.09669941498173608,0.951,10.7,5.1778373863998475
101,11.0,15.53,0.10151479122313586,0.95051,nan,nan
102,9.0,15.44,0.08608360754119025,0.95002,nan,nan
103,10.0,15.44,0.10279003158211708,0.94953,nan,nan
104,10.0,15.39,0.09346571117639542,0.94904,nan,nan
105,10.0,15.29,0.11247956454753875,0.94855,nan,nan
106,30.0,15.37,0.12245897725224494,0.94806,nan,nan
107,13.0,15.37,0.1341240910383371,0.94757,nan,nan
108,10.0,15.22,0.1262705571949482,0.94708,nan,nan
109,11.0,15.03,0.11329337412660773,0.94659,nan,nan
110,10.0,14.94,0.1035359486937523,0.9461,nan,nan
111,12.0,14.6,0.1273778552810351,0.94561,nan,nan
112,11.0,14.6,0.12040926448323509,0.94512,nan,nan
113,9.0,14.46,0.11085042440228993,0.94463,nan,nan
114,10.0,14.4,0.12681977972388267,0.94414,nan,nan
115,9.0,14.4,0.11681545029083888,0.94365,nan,nan
116,12.0,14.33,0.11073147753874461,0.94316,nan,nan
117,9.0,14.25,0.14513538198338616,0.94267,nan,nan
118,12.0,13.86,0.10863170772790909,0.94218,nan,nan
119,10.0,13.78,0.10649008192121982,0.94169,nan,nan
120,9.0,13.74,0.10412079426977369,0.9412,nan,nan
121,10.0,13.61,0.12152658067643643,0.94071,nan,nan
122,10.0,13.62,0.11478658467531204,0.9402200000000001,nan,nan
123,10.0,13.59,0.1057352066040039,0.93973,nan,nan
124,30.0,13.66,0.11424185183520118,0.93924,nan,nan
125,10.0,13.65,0.11054519712924957,0.93875,12.3,4.62709412050371
126,10.0,13.56,0.12476164624094963,0.93826,nan,nan
127,10.0,13.47,0.1203213669359684,0.93777,nan,nan
128,12.0,13.37,0.11049147291729848,0.93728,nan,nan
129,29.0,13.55,0.11932786220106585,0.93679,nan,nan
130,11.0,13.53,0.12962655858560043,0.9363,nan,nan
131,10.0,13.45,0.15263527855277062,0.93581,nan,nan
132,12.0,13.37,0.11946219361076753,0.93532,nan,nan
133,11.0,13.2,0.13994013585827567,0.93483,nan,nan
134,26.0,13.27,0.1325040813535452,0.93434,nan,nan
135,9.0,13.15,0.13548552327685887,0.93385,nan,nan
136,10.0,13.09,0.13276098445057868,0.93336,nan,nan
137,11.0,13.01,0.13063592395999216,0.93287,nan,nan
138,11.0,13.0,0.1335726481947032,0.93238,nan,nan
139,25.0,13.06,0.12807271510362625,0.93189,nan,nan
140,11.0,13.01,0.14150639352473346,0.9314,nan,nan
141,20.0,13.09,0.12691730074584484,0.93091,nan,nan
142,11.0,13.04,0.1473016169938174,0.93042,nan,nan
143,10.0,12.97,0.1707761749625206,0.92993,nan,nan
144,26.0,13.1,0.1467783244756552,0.92944,nan,nan
145,10.0,13.05,0.14773205742239953,0.9289499999999999,nan,nan
146,27.0,13.22,0.13370217741639526,0.9284600000000001,nan,nan
147,10.0,12.58,0.1603810518980026,0.92797,nan,nan
148,26.0,12.73,0.15686075675946015,0.92748,nan,nan
149,12.0,12.62,0.13290917376677194,0.92699,nan,nan
150,13.0,12.57,0.12826026517611283,0.9265,55.1,22.866788143506295
151,22.0,12.66,0.14152545752850446,0.92601,nan,nan
